index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud
175,2022,1,ENTRE RIOS,35.59,19.04540527092108,63.70090347123158,-31.925167566210387,-59.26302098168299
176,2022,1,FORMOSA,30.28,8.896427435598431,34.955686995751336,-25.09315954739276,-59.46860152020448
177,2022,1,JUJUY,27.69,14.847641828629394,58.06462866426784,-23.523573011085336,-65.43805280478172
178,2022,1,LA PAMPA,14.84,30.20041503140257,91.66332531408716,-36.47714174789248,-64.4553406128059
179,2022,1,LA RIOJA,41.37,20.96917417226944,78.77459866564503,-29.330863895517307,-67.13983451857555
180,2022,1,MENDOZA,26.2,13.5994765497552,48.73524093558345,-33.368795530481485,-68.68534600457129
181,2022,1,MISIONES,41.87,13.357539336702546,49.04334199772953,-27.058215458325986,-54.96724865075839
182,2022,1,NEUQUEN,43.05,22.07746042609429,74.17305509992715,-38.49954335558701,-69.8742115743201
183,2022,1,RIO NEGRO,31.09,20.61822984084394,67.03640754987029,-39.89645026413934,-67.6105113380815
184,2022,1,SALTA,36.71,13.588166053353753,56.10759340849759,-24.248013631473587,-64.70250708135784
185,2022,1,SAN JUAN,11.99,11.092116468606635,43.54598160933163,-31.31442612644254,-68.50334378949645
186,2022,1,SAN LUIS,20.95,23.101656231687382,80.72423060601774,-32.98264595285886,-65.88683861327827
187,2022,1,SANTA CRUZ,10.89,12.894297328809571,43.33842311053054,-48.863730255517886,-69.86373350526509
188,2022,1,SANTA FE,38.89,24.30739699893441,77.30458474758402,-31.64634283294476,-61.04726054930406
189,2022,1,SANTIAGO DEL ESTERO,14.5,11.706882132029495,47.17273839324049,-27.784103764741893,-63.62189998971087
190,2022,1,TIERRA DEL FUEGO,10.73,29.13865104068589,98.29055038672794,-62.35015217161648,-59.53190998460846
191,2022,1,TUCUMAN,47.24,14.215533334298076,57.39003227231194,-26.998180477681764,-65.29453734502505
192,2021,4,BUENOS AIRES,60.2091238315554,25.36251411440295,75.66410602338475,-35.633728326052875,-59.695392866402734
194,2021,4,CATAMARCA,46.380057758939095,14.054223759225389,55.2526999859741,-27.97273476331947,-66.12713970412685
195,2021,4,CHACO,42.342637514688604,11.772399458164148,44.04856389025934,-26.86207729911804,-60.15511735633289
196,2021,4,CHUBUT,9.082660638555469,25.309325144656967,82.57340063871433,-44.077151734192086,-68.66765299463769
197,2021,4,CORDOBA,46.36090745799214,25.873153715537683,84.50941853046088,-31.846608244153405,-63.96214628932277
198,2021,4,CORRIENTES,35.772659194287044,11.983198552620909,45.51016102946347,-28.61578113415668,-57.97533573736128
199,2021,4,ENTRE RIOS,33.31712584167462,18.88227767661483,63.15536143616578,-31.925167566210387,-59.26302098168299
200,2021,4,FORMOSA,28.75764894769421,8.768865242200624,34.4545746388443,-25.09315954739276,-59.46860152020448
201,2021,4,JUJUY,27.14434303841708,14.555241944242493,56.921070514870486,-23.523573011085336,-65.43805280478172
202,2021,4,LA PAMPA,13.853882842854397,29.509892061530994,89.56734270241313,-36.47714174789248,-64.4553406128059
203,2021,4,LA RIOJA,39.69594513667998,20.74238205028396,77.9234900964576,-29.330863895517307,-67.13983451857555
204,2021,4,MENDOZA,22.23158340100516,13.25625900699059,47.50531709031775,-33.368795530481485,-68.68534600457129
205,2021,4,MISIONES,38.90334925090757,13.363319043268442,49.06462073058497,-27.058215458325986,-54.96724865075839
206,2021,4,NEUQUEN,40.092530111167584,21.817563119077384,73.30016254020012,-38.49954335558701,-69.8742115743201
207,2021,4,RIO NEGRO,27.20317045489215,20.205613568445425,65.69489961160652,-39.89645026413934,-67.6105113380815
