index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud,Accesos_siguiente_trimestre,KPI_propuesto,Mbps_ano_anterior,KPI_crecimiento_anual,Variacion_trimestral,KPI_variacion_trimestral_media
117,2022,4,SANTIAGO DEL ESTERO,34.4,11.92,48.05,-27.784103764741893,-63.62189998971087,47.98,0.14568158168574463,44.22,-22.207146087743105,0.11999999999999922,-0.023279466992626396
118,2022,4,TIERRA DEL FUEGO,13.48,30.07,101.44,-62.35015217161648,-59.53190998460846,99.51,1.9026025236592987,17.92,-24.77678571428572,-0.8299999999999983,-0.44033723982852724
119,2022,4,TUCUMAN,88.33,15.12,61.04,-26.998180477681764,-65.29453734502505,61.14,-0.16382699868938636,101.55,-13.018217626784834,0.16999999999999993,-0.1836166664254808
120,2022,3,BUENOS AIRES,70.19,26.37,78.11,-35.633728326052875,-59.695392866402734,77.58,0.6785302778133416,146.84,-52.19967311359303,-0.34999999999999787,-0.31174246199290945
122,2022,3,CATAMARCA,60.99,16.62,65.33,-27.97273476331947,-66.12713970412685,62.4,4.484922700137762,87.9,-30.614334470989764,-0.10999999999999943,-0.5060951062511716
123,2022,3,CHACO,53.21,11.72,43.86,-26.86207729911804,-60.15511735633289,43.79,0.15959872321021495,107.5,-50.50232558139535,0.0600000000000005,0.06133551010903604
124,2022,3,CHUBUT,15.57,25.86,84.38,-44.077151734192086,-68.66765299463769,83.19,1.4102867978193858,19.26,-19.158878504672902,-0.370000000000001,0.16718991577609987
125,2022,3,CORDOBA,56.32,27.04,88.31,-31.846608244153405,-63.96214628932277,87.48,0.9398709092967934,111.5,-49.488789237668165,-0.22000000000000242,-0.23618444541220818
126,2022,3,CORRIENTES,45.07,12.69,48.21,-28.61578113415668,-57.97533573736128,48.35,-0.2903961833644484,99.64,-54.76716178241669,-0.9100000000000001,-0.29117967817180235
127,2022,3,ENTRE RIOS,42.49,19.04,63.67,-31.925167566210387,-59.26302098168299,63.9,-0.3612376315376109,96.26,-55.85913151880324,-0.10000000000000142,-0.08114868226973027
128,2022,3,FORMOSA,30.35,11.14,43.76,-25.09315954739276,-59.46860152020448,43.42,0.7769652650822585,80.29,-62.19952671565575,1.1100000000000012,-0.243393141100392
129,2022,3,JUJUY,32.43,15.06,58.91,-23.523573011085336,-65.43805280478172,57.32,2.6990324223391555,44.55,-27.2053872053872,0.11000000000000121,-0.008089542842651731
130,2022,3,LA PAMPA,18.1,31.82,96.59,-36.47714174789248,-64.4553406128059,92.98,3.737446940677088,24.21,-25.237505163155717,0.5899999999999999,-0.402396242149357
131,2022,3,LA RIOJA,44.3,21.47,80.66,-29.330863895517307,-67.13983451857555,80.14,0.6446813786263278,63.84,-30.607769423558906,0.2099999999999973,-0.06520645693264004
132,2022,3,MENDOZA,34.16,14.24,51.03,-33.368795530481485,-68.68534600457129,49.39,3.2137958063884002,46.96,-27.257240204429312,-0.08999999999999986,-0.18513086256119982
